freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
12.0182,0.0783762,0.0711626,0.037448
12.0426,0.0879724,0.0920805,0.0502609
12.067,0.0719675,0.0854405,0.0456111
12.0913,0.0701126,0.073479,0.0254022
12.1157,0.024977,0.0285217,0.0264042
12.1401,0.0258437,0.034956,0.0347432
12.1645,0.0382579,0.0422141,0.0240679
12.1888,0.0537826,0.0411512,0.0245851
12.2132,0.0517206,0.0608918,0.0227354
12.2376,0.0337644,0.047615,0.0162689
12.262,0.051099,0.037772,0.0308079
12.2864,0.0224219,0.0461963,0.0307527
12.3107,0.0318671,0.0501352,0.0224675
12.3351,0.0324631,0.0592747,0.0289337
12.3595,0.0465459,0.0662263,0.0222147
12.3839,0.0429229,0.0617796,0.0283734
12.4082,0.0279801,0.0407984,0.0234189
12.4326,0.0231182,0.0219864,0.011399
12.457,0.0402149,0.0529465,0.0235915
12.4814,0.0412938,0.0639379,0.018129
12.5058,0.0796107,0.0977201,0.0174426
12.5301,0.0494651,0.069775,0.0314527
12.5545,0.0477459,0.0505768,0.0430974
12.5789,0.0455205,0.0487577,0.0321169
12.6033,0.0207395,0.0427719,0.0134632
12.6276,0.0238086,0.0291922,0.0128916
12.652,0.0263258,0.0282422,0.00977809
12.6764,0.0284254,0.0303425,0.0206565
12.7008,0.0188543,0.0310569,0.0203738
12.7251,0.0241512,0.0358549,0.0132269
12.7495,0.0104581,0.0226826,0.0230354
12.7739,0.0221379,0.0226324,0.0214306
12.7983,0.0410097,0.0306115,0.0248179
12.8227,0.0193964,0.0168304,0.0205033
12.847,0.0323718,0.0370767,0.0299396
12.8714,0.0308429,0.059772,0.0155882
12.8958,0.0270471,0.0455415,0.0126271
12.9202,0.0313988,0.0310424,0.0354483
12.9445,0.0306992,0.0310206,0.0303177
12.9689,0.0143697,0.016884,0.0158931
12.9933,0.0103123,0.0121817,0.0115176
13.0177,0.0205753,0.0244683,0.0150054
13.0421,0.0209037,0.0154519,0.0151759
13.0664,0.0142872,0.0168078,0.0118495
13.0908,0.0165185,0.0192146,0.0123106
13.1152,0.014793,0.0124095,0.0153787
13.1396,0.0264354,0.0238333,0.0196547
13.1639,0.0236534,0.0167568,0.0122202
13.1883,0.0282544,0.0340048,0.0240371
13.2127,0.0134784,0.0175672,0.0180875
13.2371,0.00942572,0.0118159,0.00996742
13.2615,0.0128711,0.0197063,0.0069386
13.2858,0.0150911,0.0235653,0.0134682
13.3102,0.0155432,0.0137412,0.0207756
13.3346,0.0153069,0.0264007,0.0135498
13.359,0.0186044,0.0207591,0.0102021
13.3833,0.00894735,0.0114567,0.0141444
13.4077,0.0182372,0.0209461,0.0146364
13.4321,0.0123968,0.0108747,0.00556932
13.4565,0.0241834,0.0181275,0.013258
13.4809,0.0334805,0.031998,0.0205194
13.5052,0.0313035,0.0294416,0.0319147
13.5296,0.0143701,0.0180563,0.0158736
13.554,0.03012,0.0169352,0.0206816
13.5784,0.0215548,0.0118409,0.0169445
13.6027,0.0310931,0.0165744,0.0163323
13.6271,0.00870356,0.00843524,0.0142725
13.6515,0.0252556,0.0145014,0.0148423
13.6759,0.0232277,0.0156101,0.0118109
13.7003,0.018533,0.00918413,0.0127145
13.7246,0.0202868,0.0188961,0.0141828
13.749,0.0220743,0.0219313,0.0144767
13.7734,0.0214042,0.0192963,0.0269925
13.7978,0.0298562,0.0237821,0.0233152
13.8221,0.0151285,0.0174112,0.0147379
13.8465,0.0121406,0.0137892,0.00901556
13.8709,0.0233814,0.0196374,0.0114848
13.8953,0.0321796,0.0231062,0.0177668
13.9197,0.0246256,0.0236219,0.0108365
13.944,0.00647833,0.00488942,0.00880285
13.9684,0.0204608,0.0157044,0.0226451
13.9928,0.0269591,0.0204443,0.0183915
14.0172,0.0136417,0.0140025,0.0115138
14.0415,0.0250923,0.0232725,0.0254202
14.0659,0.0325936,0.0300506,0.0213572
14.0903,0.0335547,0.0243974,0.0108399
14.1147,0.0196163,0.0125258,0.0163946
14.1391,0.0239004,0.0189603,0.0239692
14.1634,0.0171548,0.0181858,0.0105876
14.1878,0.013901,0.0112931,0.00689391
14.2122,0.0151512,0.00986423,0.0119841
14.2366,0.0169056,0.013768,0.0170862
14.2609,0.0284796,0.0202321,0.0138063
14.2853,0.0314137,0.0267301,0.0245905
14.3097,0.0160267,0.011149,0.0121766
14.3341,0.0294439,0.0250106,0.0145885
14.3585,0.0185729,0.0196199,0.0186803
14.3828,0.0132993,0.0119893,0.012802
14.4072,0.0236015,0.01707,0.0144447
14.4316,0.017944,0.0143025,0.00969763
14.456,0.0209924,0.028657,0.0131456
14.4803,0.0170306,0.020064,0.00904252
14.5047,0.00526991,0.0106224,0.00806414
14.5291,0.0100737,0.00700327,0.00688883
14.5535,0.0209722,0.0167209,0.0136444
14.5779,0.0183327,0.0149136,0.0149169
14.6022,0.0291182,0.0188469,0.00988291
14.6266,0.0254399,0.0218906,0.00974949
14.651,0.0131156,0.0136527,0.00635463
14.6754,0.0109224,0.0194366,0.0103035
14.6997,0.0122189,0.0176921,0.0126273
14.7241,0.01535,0.0194681,0.0059423
14.7485,0.0105768,0.0113977,0.00333274
14.7729,0.0136962,0.0118802,0.00567695
14.7973,0.0107395,0.00543696,0.00655351
14.8216,0.0106443,0.00922662,0.0178033
14.846,0.00912326,0.00777153,0.0163707
14.8704,0.00902791,0.00956601,0.00585081
14.8948,0.00854542,0.0101318,0.01139
14.9191,0.00978342,0.00654779,0.0103616
14.9435,0.00596422,0.00929977,0.00676069
14.9679,0.0087149,0.00842439,0.00624284
14.9923,0.0177513,0.0179227,0.00914073
15.0167,0.0170739,0.0147907,0.0167207
15.041,0.0070886,0.00836216,0.00376538
15.0654,0.0112393,0.0104657,0.00789527
15.0898,0.00824046,0.00463434,0.00986897
15.1142,0.00925326,0.00754077,0.00764328
15.1385,0.00754627,0.00655556,0.00468906
15.1629,0.00966023,0.00906388,0.00384433
15.1873,0.00791118,0.0129433,0.00718618
15.2117,0.00786276,0.00938795,0.0122321
15.2361,0.00618089,0.00663774,0.00453008
15.2604,0.010357,0.011565,0.00668669
15.2848,0.00639504,0.00720032,0.00511091
15.3092,0.00780675,0.00784018,0.00393791
15.3336,0.00889655,0.00671013,0.00561428
15.3579,0.00527643,0.00376365,0.00307113
15.3823,0.00746144,0.00555384,0.00867003
15.4067,0.0068795,0.00721411,0.0117349
15.4311,0.00892731,0.00990938,0.00553805
15.4555,0.0208964,0.0175716,0.0139653
15.4798,0.00944691,0.00705696,0.0117743
15.5042,0.00634297,0.00748631,0.00672181
15.5286,0.00989819,0.00576841,0.00726993
15.553,0.0115993,0.00465467,0.00430444
15.5773,0.0134529,0.00428652,0.00928655
15.6017,0.00864653,0.00481082,0.00677415
15.6261,0.0103725,0.0041001,0.00737466
15.6505,0.00790306,0.00309259,0.0102567
15.6748,0.00501928,0.00325955,0.0109742
15.6992,0.0102274,0.00644632,0.00403859
15.7236,0.00893153,0.00799878,0.00436912
15.748,0.00492228,0.00562294,0.00331594
15.7724,0.0145889,0.0103933,0.00819436
