freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
12.5764,0.00181507,0.00371479,0.00164394
12.6008,0.00135499,0.00261423,0.00175918
12.6251,0.00180413,0.00367766,0.00165678
12.6495,0.00145355,0.00405759,0.00162521
12.6739,0.00145281,0.00320831,0.00132453
12.6983,0.00159414,0.00262047,0.00159142
12.7226,0.0014298,0.00247162,0.00144896
12.747,0.00177103,0.00291257,0.00140463
12.7714,0.00175893,0.00323596,0.000954591
12.7958,0.0014084,0.00352687,0.00118658
12.8201,0.00108598,0.00353979,0.00137036
12.8445,0.00115914,0.00244732,0.00135601
12.8689,0.00137136,0.00309596,0.00171304
12.8932,0.000845422,0.00171814,0.00134837
12.9176,0.00135009,0.00268592,0.00116899
12.942,0.00210234,0.00437499,0.00155525
12.9664,0.00157036,0.00434658,0.00155858
12.9907,0.00103625,0.00347754,0.00184288
13.0151,0.000970561,0.00211615,0.00142619
13.0395,0.00150966,0.00272214,0.00121863
13.0639,0.0013282,0.00191546,0.000860216
13.0882,0.0012973,0.00274286,0.000997455
13.1126,0.00156455,0.00352047,0.00160891
13.137,0.001182,0.0026372,0.00146532
13.1613,0.00134018,0.0036338,0.00140737
13.1857,0.0018517,0.00428727,0.00192519
13.2101,0.00135219,0.00242047,0.00106885
13.2345,0.00109587,0.0014811,0.000688397
13.2588,0.00136267,0.0022919,0.000813201
13.2832,0.000857966,0.00247176,0.00107646
13.3076,0.00118842,0.00274096,0.00132178
13.332,0.00114755,0.00296068,0.0016376
13.3563,0.0013835,0.00298527,0.00112843
13.3807,0.00162759,0.00446506,0.00150108
13.4051,0.000939623,0.0021462,0.000930675
13.4294,0.000849727,0.00145832,0.000574863
13.4538,0.0013575,0.002507,0.00147727
13.4782,0.00191493,0.00364837,0.00155295
13.5026,0.000795796,0.00240398,0.00122936
13.5269,0.000450903,0.00129912,0.000595491
13.5513,0.000715556,0.00175848,0.00081763
13.5757,0.00143987,0.00327711,0.00140813
13.6001,0.00130607,0.00199878,0.00107747
13.6244,0.00102486,0.00188882,0.000911521
13.6488,0.000818023,0.00182408,0.000804835
13.6732,0.00153013,0.0036386,0.0011663
13.6976,0.000889387,0.00173747,0.000801208
13.7219,0.00116701,0.00316944,0.0011173
13.7463,0.0010077,0.0030021,0.00126529
13.7707,0.000871151,0.00211238,0.00116646
13.795,0.00048279,0.0010862,0.000831767
13.8194,0.000603326,0.00126648,0.00079117
13.8438,0.00115921,0.00233891,0.000959069
13.8682,0.00135595,0.00290173,0.00117925
13.8925,0.000832628,0.00217081,0.00113139
13.9169,0.00114946,0.0029488,0.00130531
13.9413,0.00128505,0.00284359,0.00150129
13.9657,0.00135018,0.002846,0.00108201
13.99,0.00114507,0.00273346,0.000882787
14.0144,0.00120384,0.00248623,0.000968816
14.0388,0.00171873,0.00381521,0.0017257
14.0631,0.00182,0.0040007,0.00172569
14.0875,0.00105881,0.00263056,0.00114317
14.1119,0.000795792,0.00190737,0.000849235
14.1363,0.00116831,0.00203869,0.0008638
14.1606,0.000855308,0.00153899,0.000757214
14.185,0.00116787,0.00245338,0.00107101
14.2094,0.000880714,0.00199935,0.00125585
14.2338,0.000985092,0.00186811,0.000970512
14.2581,0.00139426,0.0028446,0.000914366
14.2825,0.0012078,0.00257442,0.000811992
14.3069,0.000961969,0.00235205,0.000813017
14.3312,0.00102419,0.00234484,0.00114465
14.3556,0.000999777,0.00223194,0.00103005
14.38,0.000941367,0.00261084,0.00107033
14.4044,0.000598159,0.00127341,0.000695261
14.4287,0.000615681,0.00113165,0.000574807
14.4531,0.000975874,0.00275402,0.00106827
14.4775,0.00133127,0.00345685,0.00122745
14.5019,0.00127125,0.00212342,0.000944072
14.5262,0.000796798,0.00184186,0.00093388
14.5506,0.00105795,0.00239447,0.000847855
14.575,0.00106848,0.00261075,0.000887481
14.5993,0.000852444,0.00176481,0.000688762
14.6237,0.00107709,0.00190416,0.000982918
14.6481,0.00128317,0.00247834,0.00127824
14.6725,0.0012409,0.00251726,0.000939594
14.6968,0.00131552,0.00290614,0.00089906
14.7212,0.000745682,0.0013069,0.00059668
14.7456,0.000968312,0.00157547,0.000705537
14.77,0.00112572,0.00197983,0.000845128
14.7943,0.000987247,0.00148011,0.000840044
14.8187,0.000791797,0.00140884,0.000604934
14.8431,0.000808383,0.00157958,0.000554942
14.8674,0.000934938,0.00168853,0.000613062
14.8918,0.000885363,0.00166793,0.00061821
14.9162,0.000937369,0.00183984,0.00082506
14.9406,0.000844598,0.00201712,0.00106671
14.9649,0.00113314,0.00245019,0.000931209
14.9893,0.000918419,0.00174205,0.000770782
15.0137,0.000715325,0.00116413,0.000609517
15.0381,0.000817685,0.00137902,0.000462702
15.0624,0.00101451,0.00172957,0.000659872
